molecule_chembl_id,pchembl_value,target_chembl_id,value,canonical_smiles
CHEMBL178468,4.67,CHEMBL4282,21200.0,CC(C)Cc1nc(-c2ccccc2)c(-c2ccc(CN3CCC(n4c(O)nc5ccccc54)CC3)cc2)nc1O
CHEMBL272292,6.62,CHEMBL4282,240.0,O=C(O)c1ccc2nc(-c3ccc(CN4CCC(n5c(=O)[nH]c6ccccc65)CC4)cc3)c(-c3ccccc3)nc2c1
CHEMBL273160,6.78,CHEMBL4282,166.0,O=C(O)c1ccc2nc(-c3ccccc3)c(-c3ccc(CN4CCC(n5c(=O)[nH]c6ccccc65)CC4)cc3)nc2c1
CHEMBL271091,7.2,CHEMBL4282,63.0,O=c1[nH]c2ccccc2n1C1CCN(Cc2ccc(-c3nc4ccc(-c5nn[nH]n5)cc4nc3-c3ccccc3)cc2)CC1
CHEMBL408151,7.7,CHEMBL4282,20.0,O=c1[nH]c2ccccc2n1C1CCN(Cc2ccc(-c3nc4cc(-c5nn[nH]n5)ccc4nc3-c3ccccc3)cc2)CC1
CHEMBL181419,5.96,CHEMBL4282,1089.0,Cn1nnc(-c2ccc3nc(-c4ccc(CN5CCC(n6c(O)nc7ccccc76)CC5)cc4)c(-c4ccccc4)nc3c2)n1
CHEMBL180058,7.26,CHEMBL4282,55.0,Cn1nnc(-c2ccc3nc(-c4ccccc4)c(-c4ccc(CN5CCC(n6c(O)nc7ccccc76)CC5)cc4)nc3c2)n1
CHEMBL180231,7.07,CHEMBL4282,85.0,O=c1[nH]c2ccccc2n1C1CCN(Cc2ccc(-c3nc4cc5cn[nH]c5cc4nc3-c3ccccc3)cc2)CC1
CHEMBL192519,5.58,CHEMBL4282,2.6,CC1=C(C#N)c2nc(N)c(C#N)c(C)c2/C1=C/c1ccc(-c2ccc(C(=O)O)c(Cl)c2)o1
CHEMBL190313,5.35,CHEMBL4282,4.5,O=C(/C=C/c1nc2ccccc2[nH]1)c1c(O)nc2ccc(Cl)cc2c1-c1ccccc1
CHEMBL175828,4.6,CHEMBL4282,25.1,O=C(O)c1cc(-c2ccc(C=C3C(=O)c4ccccc4C3=O)o2)ccc1O
CHEMBL104264,5.64,CHEMBL4282,2.3,O=S(=O)(NCCNC/C=C/c1ccc(Br)cc1)c1cccc2cnccc12
CHEMBL193261,4.22,CHEMBL4282,60.2,CC1=C(C#N)c2nc(N)c(C#N)c(C)c2/C1=C/c1ccc(-c2cccc(C(=O)O)c2)o1
CHEMBL192161,5.04,CHEMBL4282,9210.0,CC1(COc2ccc(Cl)cc2NC(=O)Nc2cnc(C#N)cn2)COC1
CHEMBL199996,5.05,CHEMBL4282,9.0,Cc1n[nH]c2sc(C(N)=O)c(NC(=O)Nc3ccccc3)c12
CHEMBL382070,4.77,CHEMBL4282,17.0,Cc1n[nH]c2sc(C(N)=O)c(NC(=O)c3cccs3)c12
CHEMBL200499,4.82,CHEMBL4282,15.0,O=C(NCc1ccccc1)c1cc2c(-c3ccccc3)[nH]nc2s1
CHEMBL200796,4.8,CHEMBL4282,16.0,COC(=O)c1cc2c(Nc3ccccc3)[nH]nc2s1
CHEMBL419932,5.28,CHEMBL4282,5290.0,C[C@H](N)COc1cnc(Cl)c(/C=C/c2ccncc2)c1
CHEMBL388978,8.82,CHEMBL4282,1.5,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4
CHEMBL206708,5.48,CHEMBL4282,3340.0,N[C@H](COc1cncc(/C=C/c2ccnc(-n3ccc4ccccc43)c2)c1)Cc1c[nH]c2ccccc12
CHEMBL381610,6.83,CHEMBL4282,147.0,N[C@H](COc1cncc(/C=C/c2ccnc(NCc3ccccc3)c2)c1)Cc1c[nH]c2ccccc12
CHEMBL203275,7.16,CHEMBL4282,69.0,N[C@H](COc1cncc(/C=C/c2ccnc(NC3CC3)c2)c1)Cc1c[nH]c2ccccc12
CHEMBL382914,6.79,CHEMBL4282,163.0,CCNc1cc(/C=C/c2cncc(OC[C@@H](N)Cc3c[nH]c4ccccc34)c2)ccn1
CHEMBL202787,6.75,CHEMBL4282,176.0,CNc1cc(/C=C/c2cncc(OC[C@@H](N)Cc3c[nH]c4ccccc34)c2)ccn1
CHEMBL381075,6.92,CHEMBL4282,121.0,Nc1cc(/C=C/c2cncc(OC[C@@H](N)Cc3c[nH]c4ccccc34)c2)ccn1
CHEMBL381260,5.51,CHEMBL4282,3110.0,N[C@H](COc1cncc(/C=C/c2ccnc(SCc3ccccc3)c2)c1)Cc1c[nH]c2ccccc12
CHEMBL203483,5.2,CHEMBL4282,6350.0,N[C@H](COc1cncc(/C=C/c2ccnc(Sc3ccccc3)c2)c1)Cc1c[nH]c2ccccc12
CHEMBL378823,5.19,CHEMBL4282,6450.0,N[C@H](COc1cncc(/C=C/c2ccnc(Oc3ccccc3)c2)c1)Cc1c[nH]c2ccccc12
CHEMBL377294,5.57,CHEMBL4282,2670.0,COc1cc(/C=C/c2cncc(OC[C@@H](N)Cc3c[nH]c4ccccc34)c2)ccn1
CHEMBL203004,4.37,CHEMBL4282,43010.0,N[C@H](COc1ccc(/C=C/c2ccncc2)cn1)Cc1ccccc1
CHEMBL206654,4.63,CHEMBL4282,23270.0,N[C@H](COc1cccc(/C=C/c2ccncc2)n1)Cc1c[nH]c2ccccc12
CHEMBL202937,6.12,CHEMBL4282,760.0,Cn1cc(C(CN)c2cncc(/C=C/c3ccncc3)c2)c2ccccc21
CHEMBL383254,6.55,CHEMBL4282,284.0,NCC(c1ccccc1)c1cncc(/C=C/c2ccncc2)c1
CHEMBL206328,4.49,CHEMBL4282,32250.0,Brc1ccc(/C=C/CNCCOc2cncc(/C=C/c3ccncc3)c2)cc1
CHEMBL383527,6.17,CHEMBL4282,668.0,N[C@@H](Cc1cccc2ccccc12)C(=O)Nc1cncc(/C=C/c2ccncc2)c1
CHEMBL205514,5.5,CHEMBL4282,3200.0,N[C@@H](Cc1ccccc1)C(=O)Nc1cncc(/C=C/c2ccncc2)c1
CHEMBL205415,6.56,CHEMBL4282,278.0,N[C@@H](Cc1c[nH]c2ccccc12)C(=O)Nc1cncc(/C=C/c2ccncc2)c1
CHEMBL203624,8.01,CHEMBL4282,9.7,N[C@H](CNc1cncc(/C=C/c2ccncc2)c1)Cc1c[nH]c2ccccc12
CHEMBL381703,7.1,CHEMBL4282,79.0,N[C@H](CNc1cnc(Cl)c(/C=C/c2ccncc2)c1)CC1CNc2ccccc21
CHEMBL203384,7.72,CHEMBL4282,19.0,N[C@H](CNc1cnc(Cl)c(/C=C/c2ccncc2)c1)Cc1c[nH]c2ccccc12
CHEMBL203329,6.7,CHEMBL4282,198.0,N[C@H](CCc1cnc(Cl)c(/C=C/c2ccncc2)c1)Cc1c[nH]c2ccccc12
CHEMBL380958,4.62,CHEMBL4282,24010.0,OC(COc1cncc(/C=C/c2ccncc2)c1)Cc1c[nH]c2ccccc12
CHEMBL202893,5.96,CHEMBL4282,1100.0,CN(C)[C@H](COc1cncc(/C=C/c2ccncc2)c1)Cc1c[nH]c2ccccc12
CHEMBL204012,6.3,CHEMBL4282,500.0,Cn1cc(C[C@H](N)COc2cncc(/C=C/c3ccncc3)c2)c2ccccc21
CHEMBL206198,6.56,CHEMBL4282,273.0,N[C@H](COc1cc(/C=C/c2ccncc2)cnc1Cl)Cc1c[nH]c2ccccc12
CHEMBL379914,7.64,CHEMBL4282,23.0,N[C@H](COc1cnc(Cl)c(/C=C/c2ccncc2)c1)Cc1c[nH]c2ccccc12
CHEMBL381808,6.44,CHEMBL4282,360.0,N[C@@H](COc1cncc(/C=C/c2ccncc2)c1)Cc1c[nH]c2ccccc12
CHEMBL383541,7.85,CHEMBL4282,14.0,N[C@H](COc1cncc(/C=C/c2ccncc2)c1)Cc1c[nH]c2ccccc12
CHEMBL206183,6.85,CHEMBL4282,142.0,N[C@H](COc1cncc(/C=C/c2ccncc2)c1)Cc1csc2ccccc12
CHEMBL381328,6.84,CHEMBL4282,146.0,N[C@H](COc1cncc(/C=C/c2ccncc2)c1)Cc1ccc2ccccc2c1
CHEMBL205871,6.49,CHEMBL4282,324.0,N[C@H](COc1cncc(/C=C/c2ccncc2)c1)Cc1cccc2ccccc12
